Provincia,Distrito,Posto,Localidade,Povoado,CodigoEscola,NomeEscola,TemAgua,FonteAgua,QualidadeAgua,TemEnergia ,TipoEnergia,TemLatrina,TotalLatrina,EstadoLatrina,TemUrino,TotalUrino,UrinoFuncional,EstadoUrino,TemCasaBanho,TotalCB,CBFunci,Longitude,Latitude
Manica,Vanduzi,Vanduzi,Chigodole,Nhassoro,04-0348,Escola Primário do 1º Grau 4 de Outubro,Não,Sim,Nenhuma,Não,sim,Sim,2,Razoável,Não,0,Não,Nenhum,Não,0,Nenhuma,33.23836111,-19.21252778
Niassa,Chimbunila,Lione,Naicuanha,Naicuanha,70674,Escola Primária de Naicuainha,Não,Sim,Nenhuma,Não,sim,Sim,2,Bom,Não,0,Não,Nenhum,Não,0,Não,35.20013889,-13.47616667
Niassa,Chimbunila,Chimbunila,Lipapa,Lipapa,70684,Escola Primária de Lipapa,Não,Sim,Nenhuma,Não,sim,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,35.54036111,-13.435
Niassa,Chimbunila,Chimbunila,Icuvi,Icuvi,70685,Escola Primária de Icuvi,Não,Sim,Nenhuma,Não,sim,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,35.79247222,-13.33791667
Niassa,Chimbunila,Chimbunila,Mbau,Mbau,70686,Escola Primária de Mbbau,Não,Sim,Nenhuma,Não,sim,Sim,2,Bom,Não,0,Não,Nenhum,Não,0,Não,35.69026944,-13.31515556
Niassa,Chimbunila,Chimbunila,Lussalala,Lussalala,70688,Escola Primária de Lussalala,Não,Sim,Nenhuma,Não,sim,Sim,2,Bom,Não,0,Não,Nenhum,Não,0,Não,35.25865,-13.58976111
Niassa,Chimbunila,Lione,Ndolela,Ndolela,70693,Escola Primária de Ndolela,Não,Sim,Nenhuma,Não,sim,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,35.13169444,-13.68766667
Niassa,Chimbunila,Lione,Chinenge,Chinenge,70694,Escola Primária de Chinenge,Sim,Poço,Não Potável,Não,sim,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,35.25277778,-13.54897222
Niassa,Chimbunila,Chimbunila,Naconda,Naconda,70697,Escola Primária de Naconda,Não,Sim,Nenhuma,Não,sim,Não,0,Nenhum,Não,0,Não,Nenhum,Não,0,Não,34.98322222,-13.54972222
Niassa,Chimbunila,Chimbunila,Macassangilo,Macassangilo,70704,Escola Primária O.U.A.,Não,Sim,Nenhuma,Não,sim,Sim,2,Razoável,Não,0,Não,Nenhum,Não,0,Não,35.79247222,-13.33791667
